Month,Open,High,Low,Close,Volume
2019-01,22836.995163690477,23031.119047619046,22478.019345238095,22646.523902529763,89329851
2019-02,23487.852487664473,23898.789576480263,23275.31568667763,23623.478824013157,132509208
2019-03,25483.533389136905,25732.590401785714,25194.14769345238,25492.68089657738,139696362
2019-04,24837.000093005954,24999.99534970238,24705.138020833332,24879.119140625,59063641
2019-05,25269.23615056818,25438.81365411932,25059.44549005682,25218.531782670456,74963122
2019-06,23422.6900390625,23639.6150390625,23047.6900390625,23249.0400390625,99783005
2019-07,21720.454545454544,21920.454545454544,21493.18181818182,21684.090909090908,94279920
2019-08,22795.454545454544,23050.0,22581.81818181818,22820.454545454544,119833960
2019-09,22132.5,22317.5,21907.5,22120.0,84743830
2019-10,21704.347826086956,21878.260869565216,21526.08695652174,21660.869565217392,95676540
2019-11,22460.0,22675.0,22282.5,22462.5,116506290
2019-12,23488.88888888889,23769.444444444445,23255.555555555555,23500.0,107292840
2020-01,24973.809523809523,25240.47619047619,24792.85714285714,25011.904761904763,115290310
2020-02,21828.073601973683,22163.599917763157,21528.952508223683,21862.284128289473,148070678
2020-03,16351.518332741478,16743.181773792614,16040.52725497159,16356.822709517046,241202798
2020-04,16519.842866443454,16874.999953497023,16313.48572358631,16660.709402901786,181811112
2020-05,20468.740234375,20785.4150390625,20260.419921875,20595.8251953125,220920108
2020-06,22331.4453125,22683.718039772728,22013.259055397728,22335.231711647728,294954240
2020-07,22972.72283380682,23294.69549005682,22711.740944602272,22996.590909090908,302907208
2020-08,24092.85714285714,24400.0,23892.85714285714,24169.04761904762,251533360
2020-09,25176.190476190477,25419.04761904762,25061.904761904763,25261.904761904763,272884280
2020-10,28904.545454545456,29352.272727272728,28554.545454545456,29002.272727272728,389897150
2020-11,33005.0,33557.5,32605.0,33177.5,417056450
2020-12,38647.72727272727,39163.63636363636,38143.181818181816,38747.72727272727,442447110
2021-01,42602.63157894737,43468.42105263158,41794.73684210526,42563.15789473684,45675720
2021-02,41881.57894736842,42447.36842105263,41563.15789473684,42115.78947368421,30606430
2021-03,46365.217391304344,46667.391304347824,45854.34782608696,46278.260869565216,40074360
2021-04,53238.09523809524,54173.80952380953,52609.52380952381,53626.19047619047,46645490
2021-05,54396.294921875,55314.44453125,53919.0650390625,54774.0748046875,59926550
2021-06,52644.444444444445,53466.666666666664,51911.11111111111,52611.11111111111,356391880
2021-07,47761.90476190476,48354.76190476191,47273.80952380953,47850.0,441499100
2021-08,48672.72727272727,49090.90909090909,48168.181818181816,48661.36363636364,449385900
2021-09,51180.95238095238,51650.0,50804.76190476191,51119.04761904762,1979018700
2021-10,56500.0,56828.57142857143,56133.333333333336,56414.28571428572,299261432
2021-11,53030.95238095238,53500.0,52338.09523809524,52733.333333333336,597870900
2021-12,47063.63636363636,47490.90909090909,46411.36363636364,46743.181818181816,378478700
2022-01,44613.15789473684,45181.57894736842,44021.05263157895,44426.31578947369,312434800
2022-02,45896.666666666664,46823.333333333336,45500.0,46280.0,285775400
2022-03,47350.0,47725.0,46725.0,46900.0,43270100
