quarter,P,EPS,D/E,P/E,SIZE
2005Q1,,,,,
2005Q2,,,,,
2005Q3,,,,,
2005Q4,,,,,
2006Q1,,,,,
2006Q2,,,,,
2006Q3,,,,,
2006Q4,,,,,
2007Q1,,,,,
2007Q2,,,,,
2007Q3,,,,,
2007Q4,,,,,
2008Q1,,,,,
2008Q2,,,,,
2008Q3,,,,,
2008Q4,,,,,
2009Q1,,,,,
2009Q2,,,,,
2009Q3,,,,,
2009Q4,,,,,
2010Q1,,,,,
2010Q2,,,,,
2010Q3,,,,,
2010Q4,,,,,
2011Q1,,,,,
2011Q2,,,,,
2011Q3,,,,,
2011Q4,,,,,
2012Q1,,,,,
2012Q2,,,,,
2012Q3,,,,,
2012Q4,,,,,
2013Q1,,,,,
2013Q2,,,,,
2013Q3,,,,,
2013Q4,,,,,
2014Q1,,,,,
2014Q2,,,,,
2014Q3,,,,,
2014Q4,,,,,
2015Q1,5160.111528755415,,,,
2015Q2,5099.628664078251,,,,
2015Q3,6113.879504299903,,,,
2015Q4,6016.559767139051,,0.2617359907013328,,27.308384717138605
2016Q1,5866.879933254778,,,,
2016Q2,6088.531380208334,,0.7818133958020225,,27.6260537590138
2016Q3,5794.739833286831,,1.1390725928133063,,27.833978955699177
2016Q4,4723.571009448451,,1.2423927935294632,,27.93831720230189
2017Q1,4566.803582442434,,1.5923244115341635,,28.172116733639495
2017Q2,4997.592535300333,,1.487224363997603,,28.194680870284053
2017Q3,6013.85162062872,,1.331983933611258,,28.101832955983923
2017Q4,5581.643777682087,,1.1756395233988401,,28.104913050906188
2018Q1,7003.141684322034,,1.6195484925783803,,28.394668301678667
2018Q2,7762.042937247984,,2.157435182615015,,28.58086055937097
2018Q3,8399.67035012167,,2.13293566816083,,28.595405582854998
2018Q4,8565.454223632812,,2.073162339784034,,28.61876670212123
2019Q1,8730.972501627604,,2.581014407389764,,28.82114307463437
2019Q2,9077.796669195506,,2.1490529609024733,,28.67645047333781
2019Q3,9045.289833068848,,1.8479353484340504,,28.608417991316013
2019Q4,9242.425819396973,,2.046823505140185,,28.725203537206497
2020Q1,9695.38728151483,,2.281110715186703,,28.714594515261908
2020Q2,8320.579831999492,,1.9378479201385335,,28.806669526247507
2020Q3,8239.007904052734,,3.041948496704182,,29.18706811656578
2020Q4,9208.971675902374,,1.996639645562466,,28.99714759055324
2021Q1,14703.880346679687,,1.7855008280577165,,29.033223904329642
2021Q2,17205.1190078125,,2.178060275528433,,29.217000397703313
2021Q3,24203.744636535645,,2.629385712527942,,29.393938600190157
2021Q4,35257.30073582849,,3.097009456088542,,29.603139373925472
2022Q1,37411.77150493421,,4.188039480168303,,29.871038173901454
2022Q2,22333.197895665322,,4.247731280203724,,29.85263781626822
2022Q3,20955.795789930555,,4.431216203247358,,29.889584348203442
2022Q4,16434.575510817307,,4.348979121019124,,29.87804861214984
2023Q1,15165.41159626589,,4.414974939279644,,29.932558791572507
2023Q2,17441.19767515121,,4.797847387594096,,30.065349225480503
2023Q3,21751.08231026786,,4.42825486393517,,30.030707175220297
2023Q4,18902.79714543269,,5.582174190875731,,30.235864510845175
2024Q1,20428.030403645833,,5.820547048705782,,30.320979325536968
2024Q2,22611.996990266394,,1.957413466729201,,29.49489465716598
2024Q3,22315.079365079364,,2.1995920683154715,,29.503967460476932
2024Q4,20929.032258064515,,2.1640740167078945,,29.6305375465357
