a,b,c,activation,loss_function,final_loss
2,1,1,gelu,mse,0.089608558
2,1,1,gelu,mape,41.70394897
2,1,1,relu,mse,0.08305835
2,1,1,relu,mape,54.95868683
2,1,1,linear,mse,0.063079931
2,1,1,linear,mape,54.44561768
2,1,2,gelu,mse,0.111087069
2,1,2,gelu,mape,50.00878143
2,1,2,relu,mse,0.079697125
2,1,2,relu,mape,64.59374237
2,1,2,linear,mse,0.077710807
2,1,2,linear,mape,50.98905563
2,1,3,gelu,mse,0.118278652
2,1,3,gelu,mape,57.45503998
2,1,3,relu,mse,0.100544371
2,1,3,relu,mape,91.67765808
2,1,3,linear,mse,0.122978956
2,1,3,linear,mape,60.4441452
2,1,4,gelu,mse,0.192045629
2,1,4,gelu,mape,71.05371857
2,1,4,relu,mse,0.127378345
2,1,4,relu,mape,65.03263855
2,1,4,linear,mse,0.138022706
2,1,4,linear,mape,75.84029388
2,1,5,gelu,mse,0.181842357
2,1,5,gelu,mape,65.00973511
2,1,5,relu,mse,0.151390851
2,1,5,relu,mape,67.82221985
2,1,5,linear,mse,0.140370384
2,1,5,linear,mape,70.53042603
2,2,1,gelu,mse,0.072671406
2,2,1,gelu,mape,43.4084549
2,2,1,relu,mse,0.113109134
2,2,1,relu,mape,44.34794617
2,2,1,linear,mse,0.055895377
2,2,1,linear,mape,37.39632797
2,2,2,gelu,mse,0.069983214
2,2,2,gelu,mape,64.67595673
2,2,2,relu,mse,0.083930716
2,2,2,relu,mape,68.9044342
2,2,2,linear,mse,0.222139552
2,2,2,linear,mape,61.78998184
2,2,3,gelu,mse,0.071632393
2,2,3,gelu,mape,74.75395203
2,2,3,relu,mse,0.103038929
2,2,3,relu,mape,59.42893219
2,2,3,linear,mse,0.148688197
2,2,3,linear,mape,74.56214905
2,2,4,gelu,mse,0.127760604
2,2,4,gelu,mape,63.38801956
2,2,4,relu,mse,0.11994835
2,2,4,relu,mape,81.94685364
2,2,4,linear,mse,0.126559317
2,2,4,linear,mape,71.84436035
2,2,5,gelu,mse,0.133793712
2,2,5,gelu,mape,72.99898529
2,2,5,relu,mse,0.107597545
2,2,5,relu,mape,66.87711334
2,2,5,linear,mse,0.183069006
2,2,5,linear,mape,64.99648285
2,3,1,gelu,mse,0.064380892
2,3,1,gelu,mape,46.11057281
2,3,1,relu,mse,0.058831457
2,3,1,relu,mape,48.1525116
2,3,1,linear,mse,0.092207298
2,3,1,linear,mape,68.58982086
2,3,2,gelu,mse,0.075786307
2,3,2,gelu,mape,59.44224548
2,3,2,relu,mse,0.063390188
2,3,2,relu,mape,59.70164871
2,3,2,linear,mse,0.066291906
2,3,2,linear,mape,53.89116669
2,3,3,gelu,mse,0.096723445
2,3,3,gelu,mape,75.39648438
2,3,3,relu,mse,0.079419248
2,3,3,relu,mape,75.74990845
2,3,3,linear,mse,0.140301213
2,3,3,linear,mape,58.41721344
2,3,4,gelu,mse,0.115944497
2,3,4,gelu,mape,63.62724686
2,3,4,relu,mse,0.100411832
2,3,4,relu,mape,57.16421509
2,3,4,linear,mse,0.175576061
2,3,4,linear,mape,59.95475769
2,3,5,gelu,mse,1.200214982
2,3,5,gelu,mape,75.17649841
2,3,5,relu,mse,0.121358052
2,3,5,relu,mape,56.28455734
2,3,5,linear,mse,0.159811005
2,3,5,linear,mape,82.35610962
3,1,1,gelu,mse,0.112604938
3,1,1,gelu,mape,71.76516724
3,1,1,relu,mse,0.10065987
3,1,1,relu,mape,54.32092667
3,1,1,linear,mse,0.13674669
3,1,1,linear,mape,65.37044525
3,1,2,gelu,mse,0.155705288
3,1,2,gelu,mape,71.15354919
3,1,2,relu,mse,0.12497776
3,1,2,relu,mape,126.8329849
3,1,2,linear,mse,0.114088587
3,1,2,linear,mape,56.46061707
3,1,3,gelu,mse,0.163869664
3,1,3,gelu,mape,65.80376434
3,1,3,relu,mse,0.154849246
3,1,3,relu,mape,97.66411591
3,1,3,linear,mse,0.187672049
3,1,3,linear,mape,73.47433472
3,1,4,gelu,mse,0.162523389
3,1,4,gelu,mape,79.74471283
3,1,4,relu,mse,0.155928001
3,1,4,relu,mape,65.21932983
3,1,4,linear,mse,0.132754937
3,1,4,linear,mape,73.26610565
3,1,5,gelu,mse,0.161852136
3,1,5,gelu,mape,78.57876587
3,1,5,relu,mse,0.128303438
3,1,5,relu,mape,76.46089935
3,1,5,linear,mse,0.179547146
3,1,5,linear,mape,87.94468689
3,2,1,gelu,mse,0.144934937
3,2,1,gelu,mape,151.879425
3,2,1,relu,mse,0.120909043
3,2,1,relu,mape,79.06141663
3,2,1,linear,mse,0.317163914
3,2,1,linear,mape,62.20152664
3,2,2,gelu,mse,0.15737918
3,2,2,gelu,mape,79.00701904
3,2,2,relu,mse,0.132628113
3,2,2,relu,mape,61.60118484
3,2,2,linear,mse,0.373541027
3,2,2,linear,mape,65.82096863
3,2,3,gelu,mse,0.177346319
3,2,3,gelu,mape,78.58196259
3,2,3,relu,mse,0.139466643
3,2,3,relu,mape,68.31853485
3,2,3,linear,mse,0.20332396
3,2,3,linear,mape,73.35556793
3,2,4,gelu,mse,0.150384888
3,2,4,gelu,mape,66.83005524
3,2,4,relu,mse,0.11665152
3,2,4,relu,mape,78.02283478
3,2,4,linear,mse,0.141214594
3,2,4,linear,mape,73.97247314
3,2,5,gelu,mse,0.459263742
3,2,5,gelu,mape,77.43964386
3,2,5,relu,mse,0.133951321
3,2,5,relu,mape,61.71822739
3,2,5,linear,mse,0.193327069
3,2,5,linear,mape,89.4897995
3,3,1,gelu,mse,0.097748898
3,3,1,gelu,mape,71.78448486
3,3,1,relu,mse,0.074443474
3,3,1,relu,mape,99.78573608
3,3,1,linear,mse,0.098453678
3,3,1,linear,mape,73.78556061
3,3,2,gelu,mse,0.068446636
3,3,2,gelu,mape,75.21129608
3,3,2,relu,mse,0.118193053
3,3,2,relu,mape,90.20316315
3,3,2,linear,mse,0.138894334
3,3,2,linear,mape,79.44632721
3,3,3,gelu,mse,0.120767437
3,3,3,gelu,mape,72.42038727
3,3,3,relu,mse,0.103102513
3,3,3,relu,mape,63.8580513
3,3,3,linear,mse,0.120679192
3,3,3,linear,mape,65.597229
3,3,4,gelu,mse,0.096888863
3,3,4,gelu,mape,67.92085266
3,3,4,relu,mse,0.121583447
3,3,4,relu,mape,63.28180695
3,3,4,linear,mse,0.120219558
3,3,4,linear,mape,77.85342407
3,3,5,gelu,mse,0.08717183
3,3,5,gelu,mape,91.20199585
3,3,5,relu,mse,0.071174324
3,3,5,relu,mape,55.62618637
3,3,5,linear,mse,0.1327485
3,3,5,linear,mape,71.50273132
