,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"3,496,308,345,934","3,665,527,938,064","3,397,442,166,427","3,858,591,063,229","3,206,617,974,030","2,940,364,688,732","2,855,242,944,054","3,672,180,466,959","2,796,545,340,863","3,514,339,947,865","2,429,087,226,949","2,724,705,180,185","3,226,451,625,770","4,024,160,793,931","3,359,759,780,444","3,197,318,597,435","3,064,345,439,329","3,256,748,627,830","2,876,710,354,808","2,789,102,110,205","2,552,172,857,245","3,375,904,109,502","3,223,256,113,455","2,867,153,919,624"
2. Các khoản giảm trừ doanh thu,"11,033,535,773","19,920,281,749","65,895,624,860","89,216,909,404","20,855,991,038","46,778,743,102","29,371,541,879","11,692,158,115","14,852,733,796","39,372,472,522","13,694,105,536","-696,801,173","16,937,544,172","12,720,582,382","15,693,908,837","13,116,790,499","13,931,212,749","1,898,273,208","2,158,682,977","397,094,160","3,632,995,644","185,965,998","3,991,136,625","893,044,813"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"3,485,274,810,161","3,645,607,656,315","3,331,546,541,567","3,769,374,153,825","3,185,761,982,992","2,893,585,945,630","2,825,871,402,175","3,660,488,308,844","2,781,692,607,067","3,474,967,475,343","2,415,393,121,413","2,725,401,981,358","3,209,514,081,598","4,011,440,211,549","3,344,065,871,607","3,184,201,806,936","3,050,414,226,580","3,254,850,354,622","2,874,551,671,831","2,788,705,016,045","2,548,539,861,601","3,375,718,143,504","3,219,264,976,830","2,866,260,874,811"
4. Giá vốn hàng bán,"3,067,683,965,294","3,338,517,214,899","2,996,640,008,501","3,457,284,398,503","2,855,669,421,502","2,528,907,278,436","2,533,270,015,681","3,287,210,392,593","2,451,211,152,281","3,132,516,486,988","2,128,506,739,794","2,385,803,951,967","2,691,144,677,696","3,375,725,896,085","2,900,720,403,936","2,851,196,151,228","2,670,580,941,726","2,867,362,142,420","2,569,933,946,480","2,515,035,018,815","2,227,908,348,728","2,982,792,694,993","2,874,589,319,553","2,547,147,147,234"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"417,590,844,867","307,090,441,416","334,906,533,066","312,089,755,322","330,092,561,490","364,678,667,194","292,601,386,494","373,277,916,251","330,481,454,786","342,450,988,355","286,886,381,619","339,598,029,391","518,369,403,902","635,714,315,464","443,345,467,671","333,005,655,708","379,833,284,854","387,488,212,202","304,617,725,351","273,669,997,230","320,631,512,873","392,925,448,511","344,675,657,277","319,113,727,577"
6. Doanh thu hoạt động tài chính,"103,419,062,110","21,798,764,552","76,166,603,239","75,732,550,531","55,950,164,346","55,499,708,993","55,969,947,143","62,605,860,069","70,831,740,839","32,745,013,341","33,047,905,840","63,817,096,388","101,704,271,480","67,166,024,897","56,218,888,441","55,912,546,383","29,531,399,485","56,191,121,653","55,946,665,112","91,876,329,250","29,346,339,067","50,960,402,533","38,664,306,052","80,758,220,467"
7. Chi phí tài chính,"75,930,363,013","80,738,026,068","83,820,813,189","124,902,630,545","123,158,493,077","142,494,747,326","129,345,618,741","138,203,131,675","120,807,481,967","129,916,455,198","115,743,822,556","96,715,059,849","109,916,139,220","136,100,890,373","122,031,990,660","181,319,610,525","200,536,208,987","219,963,689,408","167,775,678,903","203,082,347,827","151,344,550,861","195,069,352,007","175,141,650,905","205,099,570,080"
- Trong đó: Chi phí lãi vay,"67,155,498,131","-27,918,893,714","87,075,217,140","116,905,260,948","120,375,843,012","132,495,424,695","128,582,689,840","134,751,130,627","118,590,623,444","124,676,817,244","114,135,826,976","85,943,159,519","104,949,982,383","102,058,267,791","122,154,112,576","145,563,227,984","191,515,720,944","212,091,731,203","161,922,811,851","176,223,998,111","147,694,848,360","173,563,331,559","164,351,032,733","180,337,365,747"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"53,576,133,472","67,449,862,354","72,728,219,440","67,730,592,057","49,284,143,576","41,061,956,865","39,172,543,975","70,252,889,529","39,552,192,157","72,120,493,307","63,168,991,344","57,399,626,427","94,315,997,095","140,391,445,680","76,765,062,508","59,466,115,450","46,127,902,183","36,012,096,317","35,680,756,583","47,028,011,402","44,455,577,541","54,394,392,891","56,435,293,306","63,477,414,094"
10. Chi phí quản lý doanh nghiệp,"49,031,623,693","46,438,664,725","53,517,609,575","58,391,612,707","57,616,015,199","54,210,151,535","52,903,198,552","68,807,286,355","67,163,623,273","53,804,388,868","40,249,600,642","45,715,510,996","58,976,364,762","54,787,578,904","51,187,753,777","82,839,872,879","70,557,780,558","69,590,931,980","72,539,989,053","86,886,717,462","71,748,545,331","71,492,277,633","56,206,166,242","96,751,870,370"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"342,471,786,799","134,262,652,821","201,006,494,101","136,797,470,544","155,984,073,984","182,411,520,461","127,149,972,369","158,620,468,761","173,789,898,228","119,354,664,323","100,771,872,917","203,584,928,507","356,865,174,305","371,600,425,404","249,579,549,167","65,292,603,237","92,142,792,611","118,112,616,150","84,567,965,924","28,549,249,789","82,429,178,207","122,929,828,513","95,556,852,876","34,543,093,500"
12. Thu nhập khác,"2,148,313,760","5,463,511,227","4,843,995,490","78,441,675,008","3,081,423,151","3,757,054,263","3,467,587,202","-1,203,764,867","2,853,952,946","16,445,210,180","180,929,743,673","7,815,348,928","9,017,113,083","18,048,616,134","6,161,062,819","-3,132,239,321","5,385,038,110","7,123,196,796","2,194,790,608","3,044,222,488","5,320,837,071","5,035,701,188","2,205,929,988","3,555,993,189"
13. Chi phí khác,"1,966,871,204","5,655,976,433","16,010,931,246","5,798,115,980","2,373,000,453","4,092,686,001","3,277,501,742","-3,139,052,439","7,195,031,915","12,408,432,771","585,467,952","4,549,523,161","3,875,152,172","2,407,888,022","3,053,404,160","-11,729,781,338","2,351,181,663","6,704,536,119","10,758,173,908","2,938,565,393","2,848,016,523","5,081,912,232","9,904,195,909","19,217,559,316"
14. Lợi nhuận khác(40=31-32),"181,442,556","-192,465,206","-11,166,935,756","72,643,559,028","708,422,698","-335,631,738","190,085,460","1,935,287,572","-4,341,078,969","4,036,777,409","180,344,275,721","3,265,825,767","5,141,960,911","15,640,728,112","3,107,658,659","8,597,542,017","3,033,856,447","418,660,677","-8,563,383,300","105,657,095","2,472,820,548","-46,211,044","-7,698,265,921","-15,661,566,127"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"342,653,229,355","134,070,187,615","189,839,558,345","209,441,029,572","156,692,496,682","182,075,888,723","127,340,057,829","160,555,756,333","169,448,819,259","123,391,441,732","281,116,148,638","206,850,754,274","362,007,135,216","387,241,153,516","252,687,207,826","73,890,145,254","95,176,649,058","118,531,276,827","76,004,582,624","28,654,906,884","84,901,998,755","122,883,617,469","87,858,586,955","18,881,527,373"
16. Chi phí thuế TNDN hiện hành,"27,680,521,621","13,384,067,705","11,461,348,067","-5,842,504,416","3,814,219,756","20,826,696,197","8,882,169,527","17,234,305,557","18,901,042,488","24,184,272,419","15,225,873,590","25,691,804,585","36,174,561,856","34,282,858,011","26,397,205,709","8,016,362,063","7,858,516,556","12,733,524,256","10,262,257,279","16,174,563,930","8,288,598,430","17,813,189,716","16,496,038,753","18,216,967,177"
17. Chi phí thuế TNDN hoãn lại,"2,223,176,657","807,390,610","714,092,707","382,732,660","1,677,344,598","-28,588,705",,"-42,681,687","399,440,373","-2,738,486,565","-1,539,899,438","945,002,728","1,743,684,555","220,096,344","1,538,796,722","186,311,903","1,424,008,637","70,915,445","-698,940,808","-3,995,735,469","1,058,347,054","501,401,062","143,937,634","148,194,597"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"312,749,531,077","119,878,729,300","177,664,117,571","214,900,801,328","151,200,932,328","161,277,781,231","118,457,888,302","143,364,132,463","150,148,336,398","101,945,655,878","267,430,174,486","180,213,946,961","324,088,888,805","352,738,199,161","224,751,205,395","65,687,471,288","85,894,123,865","105,726,837,126","66,441,266,153","16,476,078,423","75,555,053,271","104,569,026,691","71,218,610,568","516,365,599"
19. Lợi nhuận sau thuế công ty mẹ,"233,793,623,698","81,615,784,577","135,408,957,799","188,306,977,799","134,989,883,718","135,651,213,534","98,431,154,980","119,404,713,589","113,868,120,251","86,085,592,824","260,859,532,270","135,446,511,067","208,816,194,139","232,362,798,654","152,635,315,910","43,755,956,451","69,255,742,140","80,496,699,671","45,340,608,112","15,601,912,241","58,476,947,976","87,821,116,858","49,349,750,710","-13,378,371,900"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,"78,955,907,379","38,262,944,723","42,255,159,772","26,593,823,529","16,211,048,610","25,626,567,697","20,026,733,322","23,959,418,874","36,280,216,147","15,860,063,054","6,570,642,216","44,767,435,894","115,272,694,666","120,375,400,507","72,115,889,485","21,931,514,837","16,638,381,725","25,230,137,455","21,100,658,041","874,166,182","17,078,105,295","16,747,909,833","21,868,859,858","13,894,737,499"
21. Lãi cơ bản trên cổ phiếu(*),,,521,,558,,380,,440,,,,759,,,,206,,,,174,,,
22. Lãi suy giảm trên cổ phiếu (*),,,521,,558,,380,,440,,,,471,,,,206,,,,174,,,
